,carName,year,sellingPrice,presentPrice,kmsDriven,fuelType,sellerType,transmission,owner
39,innova,2017,18.0,19.77,15000,Diesel,Dealer,Automatic,0
40,fortuner,2013,16.0,30.61,135000,Diesel,Individual,Automatic,0
41,innova,2005,2.75,10.21,90000,Petrol,Individual,Manual,0
42,fortuner,2014,19.99,35.96,41000,Diesel,Dealer,Automatic,0
43,fortuner,2014,18.75,35.96,78000,Diesel,Dealer,Automatic,0
44,fortuner,2015,23.5,35.96,47000,Diesel,Dealer,Automatic,0
45,fortuner,2017,33.0,36.23,6000,Diesel,Dealer,Automatic,0
46,innova,2017,19.75,23.15,11000,Petrol,Dealer,Automatic,0
47,fortuner,2010,9.25,20.45,59000,Diesel,Dealer,Manual,0
48,corolla,2004,1.5,12.35,135154,Petrol,Dealer,Automatic,0
49,fortuner,2012,14.5,30.61,89000,Diesel,Dealer,Automatic,0
50,innova,2017,23.0,25.39,15000,Diesel,Dealer,Automatic,0
51,innova,2015,12.5,13.46,38000,Diesel,Dealer,Manual,0
52,innova,2005,3.49,13.46,197176,Diesel,Dealer,Manual,0
53,camry,2006,2.5,23.73,142000,Petrol,Individual,Automatic,3
54,innova,2014,11.25,16.09,58242,Diesel,Dealer,Manual,0
55,innova,2005,3.51,13.7,75000,Petrol,Dealer,Manual,0
56,fortuner,2015,23.0,30.61,40000,Diesel,Dealer,Automatic,0
57,innova,2016,20.75,25.39,29000,Diesel,Dealer,Automatic,0
58,fortuner,2010,9.65,20.45,50024,Diesel,Dealer,Manual,0
59,eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,0
60,xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual,0
61,elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,0
62,creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual,0
63,verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual,0
64,eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual,0
65,eon,2016,3.15,4.43,15000,Petrol,Dealer,Manual,0
66,verna,2014,6.45,9.4,45078,Petrol,Dealer,Manual,0
67,verna,2012,4.5,9.4,36000,Petrol,Dealer,Manual,0
68,eon,2017,3.5,4.43,38488,Petrol,Dealer,Manual,0
69,verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,0
70,verna,2013,5.11,9.4,36198,Petrol,Dealer,Automatic,0
71,verna,2012,4.95,9.4,60000,Diesel,Dealer,Manual,0
72,verna,2013,6.15,9.4,45000,Diesel,Dealer,Manual,0
73,verna,2017,9.25,9.4,15001,Petrol,Dealer,Manual,0
74,elantra,2015,11.45,14.79,12900,Petrol,Dealer,Automatic,0
75,verna,2017,9.1,9.4,15141,Petrol,Dealer,Manual,0
76,eon,2016,3.1,4.43,11849,Petrol,Dealer,Manual,0
77,creta,2015,11.25,13.6,68000,Diesel,Dealer,Manual,0
78,verna,2013,4.8,9.4,60241,Petrol,Dealer,Manual,0
79,eon,2012,2.0,4.43,23709,Petrol,Dealer,Manual,0
80,verna,2012,5.35,9.4,32322,Diesel,Dealer,Manual,0
81,xcent,2015,4.75,7.13,35866,Petrol,Dealer,Manual,1
82,xcent,2014,4.4,7.13,34000,Petrol,Dealer,Manual,0
83,verna,2013,5.95,9.4,49000,Diesel,Dealer,Manual,0
84,verna,2012,5.2,9.4,71000,Diesel,Dealer,Manual,0
85,verna,2015,5.95,9.4,36000,Petrol,Dealer,Manual,0
86,creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual,0
87,brio,2015,5.4,6.82,31427,Petrol,Dealer,Automatic,0
88,brio,2012,3.0,5.35,53675,Petrol,Dealer,Manual,0
89,amaze,2014,3.9,7.0,36054,Petrol,Dealer,Manual,0
90,brio,2016,5.5,5.97,5600,Petrol,Dealer,Manual,0
91,amaze,2015,4.0,5.8,40023,Petrol,Dealer,Manual,0
92,amaze,2015,4.0,7.0,40026,Petrol,Dealer,Manual,0
93,amaze,2014,3.65,7.0,35000,Petrol,Dealer,Manual,0
94,brio,2017,4.8,5.8,19000,Petrol,Dealer,Manual,0
95,brio,2014,5.3,6.8,16500,Petrol,Dealer,Manual,0
96,brio,2015,5.25,5.9,14465,Petrol,Dealer,Manual,0
97,brio,2013,3.5,5.9,9800,Petrol,Dealer,Manual,0
98,amaze,2015,5.75,7.5,44000,Petrol,Dealer,Automatic,0
99,amaze,2014,4.5,6.4,19000,Petrol,Dealer,Manual,0
100,brio,2015,5.4,6.1,31427,Petrol,Dealer,Manual,0
101,amaze,2014,3.75,6.8,33019,Petrol,Dealer,Manual,0
102,brio,2015,4.0,5.9,60000,Petrol,Dealer,Manual,0
103,brio,2016,5.3,5.9,5464,Petrol,Dealer,Manual,0
